round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_neuron,shapes
7,3.012099266052246,0.25809767842292786,3.4494473934173584,0.2607802748680115,relu,5028,0.46079999999999993,500,2056,9,463,brick
214,0.9613775014877319,0.6051414012908936,1.2435266971588135,0.47638604044914246,relu,6407,0.29419999999999996,500,463,1,2469,funnel
231,1.072116732597351,0.5660668611526489,1.2558578252792358,0.48459959030151367,relu,2664,0.48039999999999994,500,1053,1,935,funnel
14,3.60976505279541,0.16606684029102325,3.462681293487549,0.2607802748680115,relu,4634,0.7253999999999998,500,1230,4,109,triangle
500,1.7381263971328735,0.45964011549949646,1.770275592803955,0.41889116168022156,relu,2073,0.5196,500,463,0,2174,funnel
180,0.8793188333511353,0.6452442407608032,1.2302199602127075,0.4394250512123108,relu,3255,0.16679999999999998,500,1053,1,758,brick
50,0.932345986366272,0.611825168132782,1.4540257453918457,0.46817249059677124,relu,16454,0.10799999999999997,500,2764,5,1879,funnel
12,3.347438097000122,0.21491003036499023,3.5127227306365967,0.2607802748680115,relu,8180,0.6567999999999998,500,1053,6,2292,brick
7,46.73048400878906,0.10591259598731995,3.541654109954834,0.2607802748680115,relu,3452,0.8233999999999998,500,1407,8,2115,funnel
199,1.1904383897781372,0.5352185368537903,1.278772234916687,0.48459959030151367,relu,13696,0.6469999999999999,500,1171,1,2764,triangle
8,2.993464946746826,0.25809767842292786,3.026273488998413,0.2607802748680115,relu,5619,0.07859999999999998,500,2233,7,1820,brick
41,1.3634759187698364,0.5203084945678711,1.7285940647125244,0.46817249059677124,relu,1679,0.049199999999999994,500,1643,9,2823,triangle
500,0.9961049556732178,0.6051414012908936,1.2677823305130005,0.47843942046165466,relu,17439,0.21579999999999996,500,345,1,404,brick
500,0.8096596002578735,0.680719792842865,1.2073981761932373,0.4496919810771942,relu,16651,0.0394,500,2056,0,994,brick
144,0.8399491310119629,0.6627249121665955,1.26307213306427,0.47227925062179565,relu,11135,0.01,500,1053,2,168,triangle
24,3.1858596801757812,0.24061696231365204,3.46522855758667,0.2607802748680115,relu,3255,0.6273999999999998,500,876,5,404,triangle
54,1.1965489387512207,0.5537275075912476,1.3776863813400269,0.5030800700187683,relu,18621,0.3529999999999999,500,2469,2,1348,triangle
7,3.036675214767456,0.2550128400325775,3.3876819610595703,0.2607802748680115,relu,497,0.4901999999999999,500,758,7,1525,triangle
8,66.0926513671875,0.0920308455824852,3.530212640762329,0.2607802748680115,relu,14878,0.8527999999999998,500,2351,7,1407,brick
