round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_neuron,shapes
9,1.214538812637329,0.39331620931625366,1.0802149772644043,0.435318261384964,relu,694,0.27459999999999996,500,876,9,he_normal,2528,brick
99,0.9862448573112488,0.5403599143028259,0.965279221534729,0.5318275094032288,relu,2861,0.6469999999999999,500,463,2,uniform,1997,brick
14,1.0578534603118896,0.4544987082481384,1.0639396905899048,0.5195071697235107,relu,1679,0.4999999999999999,500,522,8,uniform,1761,triangle
4,10.589816093444824,0.344987154006958,1.0999951362609863,0.2299794703722,relu,1679,0.8331999999999998,500,2882,7,uniform,758,triangle
11,0.9755354523658752,0.5316195487976074,0.988434910774231,0.533880889415741,relu,1482,0.41179999999999994,500,2587,3,uniform,1879,brick
7,1.0456706285476685,0.4544987082481384,1.0367255210876465,0.5195071697235107,relu,1482,0.37259999999999993,500,2351,7,glorot_normal,1584,triangle
6,1.9724878072738647,0.4498714506626129,1.0613821744918823,0.5051334500312805,relu,3649,0.5685999999999999,500,1997,2,he_normal,2823,triangle
18,0.9985922574996948,0.5182519555091858,0.9744668006896973,0.5051334500312805,relu,2073,0.049199999999999994,500,1171,9,glorot_normal,2528,funnel
6,3.595442533493042,0.3470436930656433,1.098051905632019,0.2299794703722,relu,1876,0.7841999999999999,500,2174,9,glorot_normal,227,funnel
20,369.883056640625,0.33059126138687134,1.0888792276382446,0.5195071697235107,relu,1876,0.9703999999999998,500,1702,5,uniform,50,brick
30,1.0605543851852417,0.4544987082481384,1.045680046081543,0.5195071697235107,relu,1285,0.7057999999999999,500,758,9,uniform,50,triangle
10,7.75429105758667,0.3645244240760803,1.0123257637023926,0.5195071697235107,relu,1679,0.6959999999999998,500,1761,4,he_normal,1407,brick
4,94.73184204101562,0.35475578904151917,1.2881343364715576,0.5195071697235107,relu,300,0.9213999999999998,500,2469,3,he_normal,2587,funnel
9,1.0539480447769165,0.4544987082481384,1.0686354637145996,0.5195071697235107,relu,2073,0.48039999999999994,500,2292,7,glorot_normal,1879,brick
24,4.652841091156006,0.31773778796195984,1.0914980173110962,0.5195071697235107,relu,1876,0.9115999999999999,500,640,4,glorot_normal,168,brick
11,1.1897704601287842,0.4257069528102875,0.9828744530677795,0.5195071697235107,relu,3649,0.25499999999999995,500,1053,6,he_normal,1820,brick
7,1.1195793151855469,0.42724937200546265,1.0825307369232178,0.5195071697235107,relu,3058,0.6959999999999998,500,1820,5,uniform,1348,funnel
4,8748.1279296875,0.35012853145599365,1.5622260570526123,0.5195071697235107,relu,1088,0.9115999999999999,500,2469,7,he_normal,876,brick
384,1.001798391342163,0.5213367342948914,0.9760090112686157,0.5379877090454102,relu,2467,0.9507999999999999,500,640,1,uniform,1761,funnel
7,1.1475765705108643,0.4236503839492798,1.0579909086227417,0.5195071697235107,relu,3452,0.7645999999999998,500,2351,3,uniform,2705,brick
9,51.1666374206543,0.35218510031700134,1.096983790397644,0.5195071697235107,relu,2073,0.9017999999999998,500,2764,8,glorot_normal,1466,funnel
6,1.0603468418121338,0.4544987082481384,1.0865280628204346,0.5195071697235107,relu,694,0.5587999999999999,500,2587,8,glorot_normal,109,triangle
11,1.0288403034210205,0.5007712244987488,0.9837036728858948,0.5359342694282532,relu,2861,0.05899999999999999,500,463,7,he_normal,286,funnel
10,0.9717675447463989,0.5408740639686584,0.9725412130355835,0.5318275094032288,relu,1088,0.0394,500,1348,7,he_normal,2823,triangle
38,0.976748526096344,0.5429306030273438,0.9665515422821045,0.5297741293907166,relu,1679,0.7547999999999998,500,2646,1,glorot_normal,1230,funnel
141,1.0642560720443726,0.4539845883846283,1.0669643878936768,0.5195071697235107,relu,3255,0.8625999999999998,500,345,4,uniform,2056,brick
19,0.9785539507865906,0.5398457646369934,0.9743388891220093,0.5318275094032288,relu,3649,0.049199999999999994,500,1761,5,uniform,935,funnel
7,1.265871524810791,0.3943444788455963,1.0914446115493774,0.5195071697235107,relu,2270,0.8429999999999999,500,2705,4,glorot_normal,935,brick
4,3.213688373565674,0.3593830466270447,1.0583330392837524,0.5195071697235107,relu,694,0.6077999999999999,500,2528,4,he_normal,50,funnel
34,0.9791786074638367,0.5408740639686584,0.9684042930603027,0.5318275094032288,relu,3649,0.28439999999999993,500,640,3,uniform,1761,funnel
9,8.02462387084961,0.37120822072029114,1.0051782131195068,0.5379877090454102,relu,3452,0.6469999999999999,500,2823,5,he_normal,2646,funnel
5,1.0808500051498413,0.4452442228794098,1.0826830863952637,0.5195071697235107,relu,1088,0.5979999999999999,500,50,5,glorot_normal,2174,funnel
16,1.1183918714523315,0.42262211441993713,1.0718713998794556,0.5195071697235107,relu,2664,0.8233999999999998,500,1938,3,glorot_normal,1112,funnel
12,1.6517184972763062,0.408740371465683,1.0188151597976685,0.5092402696609497,relu,3255,0.6371999999999999,500,994,1,he_normal,463,brick
